,index,Post ID,Permalink,Post Message,Type,Countries,Languages,Posted,Audience Targeting,Lifetime Post Total Reach,Lifetime Post organic reach,Lifetime Post Paid Reach,Lifetime Post Total Impressions,Lifetime Post Organic Impressions,Lifetime Post Paid Impressions,Lifetime Engaged Users,Lifetime Post Consumers,Lifetime Post Consumptions,Lifetime Negative feedback,Lifetime Negative Feedback from Users,Lifetime Post Impressions by people who have liked your Page,Lifetime Post reach by people who like your Page,Lifetime Post Paid Impressions by people who have liked your Page,Lifetime Paid reach of a post by people who like your Page,Lifetime People who have liked your Page and engaged with your post,Lifetime Organic views to 95%,Lifetime Organic views to 95%.1,Lifetime Paid views to 95%,Lifetime Paid views to 95%.1,Lifetime Organic Video Views,Lifetime Organic Video Views.1,Lifetime Paid Video Views,Lifetime Paid Video Views.1,Lifetime Average time video viewed,Lifetime Video length
890,46,171162119680585_801265876670203,https://www.facebook.com/TarletonCOGS/posts/801265876670203,Good negotiation can enhance your life at work and at home. Learn more here: http://bit.ly/1U9wtks,Link,,,6/7/16 6:38 AM, ,11,11,0,22,22,0,0,0,0,0,0,21,10,0,0,0,0,0,0,0,0,0,0,0,0,0
891,47,171162119680585_801263683337089,https://www.facebook.com/TarletonCOGS/posts/801263683337089:0,"""It does not matter how slowly you go as long as you do not stop.""-Confucius #MotivationMonday #tarletongradstudies",Photo,,,6/6/16 5:38 PM, ,243,223,0,475,452,0,7,3,3,0,0,449,220,0,0,5,0,0,0,0,0,0,0,0,0,0
892,48,171162119680585_801260516670739,https://www.facebook.com/TarletonCOGS/posts/801260516670739:0,Inspirational Quotes for Grad Students.  #MotivationalMonday #tarletongradstudies http://buff.ly/22JdTSe,Photo,,,6/6/16 7:15 AM, ,217,214,0,443,439,0,11,9,14,0,0,437,212,0,0,8,0,0,0,0,0,0,0,0,0,0
893,49,171162119680585_800090756787715,https://www.facebook.com/TarletonCOGS/posts/800090756787715,Join Tarleton State University?s College of Graduate Studies in Fort Worth for a fun-filled and informative morning at our June 25th open house!  You may view the event schedule and RSVP here:  http://tiny.cc/8rdjby,Link,,,6/3/16 12:45 PM, ,136,81,0,206,117,0,10,6,6,0,0,125,85,0,0,6,0,0,0,0,0,0,0,0,0,0
894,50,171162119680585_800018213461636,https://www.facebook.com/TarletonCOGS/posts/800018213461636,The August graduation schedule has been announced!  If you are a graduate student your commencement ceremony will be on August 6th at 4 p.m.,Status,,,6/3/16 8:39 AM, ,13,13,0,19,19,0,0,0,0,0,0,18,12,0,0,0,0,0,0,0,0,0,0,0,0,0
895,51,171162119680585_799608060169318,https://www.facebook.com/TarletonCOGS/posts/799608060169318,Our upcoming Financial Awareness Workshop has a location update for the Waco session on June 15th!,Status,,,6/2/16 7:47 AM, ,10,10,0,21,21,0,0,0,0,0,0,20,9,0,0,0,0,0,0,0,0,0,0,0,0,0
896,52,171162119680585_795517623911695,https://www.facebook.com/TarletonCOGS/posts/795517623911695,Learn more about the history of Memorial Day.  http://buff.ly/1TrAOkC,Link,,,5/30/16 11:38 AM, ,126,126,0,242,242,0,0,0,0,0,0,238,123,0,0,0,0,0,0,0,0,0,0,0,0,0
897,53,171162119680585_795518330578291,https://www.facebook.com/TarletonCOGS/posts/795518330578291:0,Just a reminder: Our office is closed today in observance of Memorial Day.,Photo,,,5/30/16 6:00 AM, ,331,252,0,661,547,0,13,3,3,0,0,550,252,0,0,9,0,0,0,0,0,0,0,0,0,0
898,54,171162119680585_795516950578429,https://www.facebook.com/TarletonCOGS/posts/795516950578429:0,"The university will be closed on Monday, May 30th, in observance of Memorial Day. Have a safe holiday weekend!",Photo,,,5/27/16 6:34 AM, ,219,157,0,396,286,0,9,2,3,0,0,273,150,0,0,6,0,0,0,0,0,0,0,0,0,0
899,55,171162119680585_795512680578856,https://www.facebook.com/TarletonCOGS/posts/795512680578856,Using Cloud storage?  Learn how to encrypt your cloud storage for free.  http://buff.ly/1WNKkzt,Link,,,5/26/16 5:20 PM, ,30,27,0,56,50,0,1,0,0,0,0,30,17,0,0,0,0,0,0,0,0,0,0,0,0,0
900,56,171162119680585_796769507119840,https://www.facebook.com/TarletonCOGS/posts/796769507119840,"We have added several new events for the summer!  Check out the ""Events"" section of our page for more information.",Status,,,5/26/16 1:11 PM, ,42,39,0,74,70,0,2,0,0,0,0,55,31,0,0,2,0,0,0,0,0,0,0,0,0,0
901,57,171162119680585_479006872304384,https://www.facebook.com/events/479006872304384/,Learn about opportunities to pay for grad school and increase your financial awareness with this lunchtime session presented by Tarleton's Financial Aid office and the College of Graduate Studies.  Register here: https://goo.gl/8BMC1l,Status,,,5/26/16 10:51 AM, ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
902,58,171162119680585_277321425936555,https://www.facebook.com/events/277321425936555/,"Join us in a relaxed and fun session where information will be available on our MCJ Cohort Program courses and requirements. This is a wonderful opportunity to meet and mingle with other prospective students, current students and former students as well as our faculty and staff members. Gain insight on the benefits of our program, clarify any questions you may have and address any issues you anticipate in completing a graduate program.  More details here:  https://tarleton.wufoo.com/forms/r1a0aorz0r9wrlw/",Status,,,5/26/16 9:16 AM, ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
903,59,171162119680585_795510257245765,https://www.facebook.com/TarletonCOGS/posts/795510257245765,Mark your calendars for our upcoming open house in Fort Worth!  More details and registration information here: https://www.facebook.com/events/1165186040193138/,Link,,,5/26/16 6:12 AM, ,18,18,0,37,37,0,0,0,0,0,0,26,10,0,0,0,0,0,0,0,0,0,0,0,0,0
904,60,171162119680585_795449133918544,https://www.facebook.com/TarletonCOGS/posts/795449133918544,Would you attend a writing workshop to improve your graduate level writing skills?  Let us know! Short survey: http://buff.ly/1NH41FX,Link,,,5/25/16 4:45 PM, ,47,46,0,87,86,0,4,4,9,0,0,76,39,0,0,4,0,0,0,0,0,0,0,0,0,0
905,61,171162119680585_796382027158588,https://www.facebook.com/TarletonCOGS/posts/796382027158588,Compare book prices easily online!  Check out our how-to video. http://youtu.be/ocJTSrN1q0s?a  via YouTube,Link,,,5/25/16 2:31 PM, ,156,156,0,266,266,0,7,7,10,0,0,243,139,0,0,7,0,0,0,0,0,0,0,0,0,0
906,62,171162119680585_796241240506000,https://www.facebook.com/TarletonCOGS/posts/796241240506000,The Graduate Studies office in Stephenville is looking for a graduate assistant!  Check out the posting in Hire a Texan.  More here:  http://buff.ly/1XwB6pN,Link,,,5/25/16 8:47 AM, ,422,147,0,742,239,0,18,15,15,0,0,250,149,0,0,11,0,0,0,0,0,0,0,0,0,0
